id,cost,movie,movie_genre,time,date,campaing
464,13.84,Dersu Uzala,Adventure|Drama,3:32 PM,03/13/2019,FbAds-in
859,11.51,Eaten Alive,Horror,10:23 PM,04/30/2019,FbAds-fb
262,4.87,Re-Animator,Comedy|Horror|Sci-Fi,3:28 AM,06/27/2019,FbAds-in
497,11.55,The UFO Incident,Drama|Romance|Sci-Fi,3:40 PM,05/29/2019,
942,4.76,How to Cook Your Life,Documentary,9:21 PM,07/21/2019,GAds
876,5.17,Back to Bataan,Drama|War,6:20 PM,03/15/2019,GAds
178,14.0,"Pebble and the Penguin, The",Animation|Musical,8:28 PM,05/23/2019,TwAds
637,11.54,Dillinger,Action|Crime|Drama,7:13 PM,09/29/2019,
884,2.99,Bananaz,Documentary,11:10 AM,04/19/2019,GAds
144,5.39,Breakheart Pass,Western,9:54 PM,01/17/2019,
706,2.43,Dead Genesis,Horror,1:27 AM,08/26/2019,
683,4.11,Husbands and Wives,Comedy|Drama,9:59 AM,10/15/2019,
805,2.39,"Guilt Trip, The",Comedy,9:54 PM,06/07/2019,
524,3.5,Crimes of the Heart,Comedy|Drama,5:08 AM,06/16/2019,
384,12.82,"Sure Thing, The",Comedy|Romance,2:50 AM,02/26/2019,GAds
896,14.04,44 Inch Chest,Crime|Drama,11:15 AM,12/08/2019,
736,12.91,Snow (Snijeg),Drama,1:04 AM,07/11/2019,
567,5.2,Love Games,Animation|Drama|Romance,10:50 PM,10/01/2019,
930,12.39,Another Harvest Moon,Drama,6:13 AM,02/04/2019,Amazon
387,13.22,Dillinger,Action|Crime|Drama,10:08 AM,02/19/2019,
266,1.27,Level Five,Documentary|Romance|War,11:29 AM,03/24/2019,FbAds-in
225,10.71,The Living Idol,Adventure|Drama,10:52 PM,12/24/2019,
226,3.68,Tadpole,Comedy|Drama|Romance,12:14 PM,12/04/2019,
391,14.38,Lethal Weapon 3,Action|Comedy|Crime|Drama,10:56 AM,08/05/2019,TwAds
124,12.99,City for Conquest,Drama,12:50 PM,09/24/2019,
879,10.71,Flesh for Frankenstein (a.k.a. Andy Warhol's Frankenstein),Drama|Horror|Sci-Fi,3:26 AM,08/02/2019,
266,4.16,Top Dog,Action|Comedy|Crime|Thriller,11:17 PM,02/13/2019,
396,12.75,King Solomon's Mines,Action|Adventure|Romance,7:24 PM,03/28/2019,FbAds-fb
48,3.29,No Way Out,Drama|Mystery|Thriller,12:20 PM,01/17/2019,
597,3.35,Bad Company,Action|Crime|Drama,1:44 AM,02/22/2019,
741,11.75,"Librarian, The: The Curse of the Judas Chalice",Action|Adventure|Fantasy,11:44 PM,01/12/2019,
420,11.17,Flavor of Green Tea Over Rice (Ochazuke no aji),Drama,10:09 AM,08/23/2019,FbAds-fb
20,11.48,I Think I Do,Comedy,4:00 AM,11/16/2019,
948,5.23,Sword of the Valiant,Action|Adventure|Fantasy|Romance,8:07 AM,11/25/2019,
949,7.29,"Star, The",Drama,11:40 AM,05/19/2019,
196,4.26,"The Hire: Star, The",Action|Comedy,2:53 AM,05/23/2019,Amazon
12,10.18,Paris Trout,Drama,6:11 PM,02/17/2019,GAds
615,4.87,Daniel Deronda,Drama|Romance,4:45 PM,09/07/2019,
118,14.0,Summer Palace (Yihe yuan),Drama|Romance,12:03 PM,06/20/2019,Amazon
339,4.02,"Piano in a Factory, The (Gang de qin)",Comedy|Drama|Musical,2:35 AM,12/20/2019,
833,2.57,Atlantis: The Lost Empire,Adventure|Animation|Children|Fantasy,5:20 AM,09/06/2019,
805,4.35,Teenage Dirtbag,Drama,12:28 AM,07/10/2019,
992,7.61,Bye-Bye Bin Laden,Animation|Comedy,3:33 AM,02/02/2019,
662,3.55,Eye for an Eye,(no genres listed),8:48 PM,05/22/2019,
51,7.88,"Business of Strangers, The",Action|Drama|Thriller,7:38 PM,07/21/2019,
837,3.91,Kiss of Death,Crime|Drama|Thriller,9:54 PM,04/05/2019,
119,2.49,All About the Benjamins,Action|Comedy|Crime,3:21 PM,10/26/2019,FbAds-fb
874,4.28,Aquamarine,Children|Comedy|Fantasy,1:13 PM,01/19/2019,
331,2.94,Mermaids,Comedy|Drama|Romance,1:53 AM,05/15/2019,GAds
39,2.95,My Name is Juani (Yo soy la Juani),Comedy|Drama,8:58 PM,08/27/2019,Amazon
113,12.27,Dirty Story,Drama,6:31 AM,03/18/2019,
905,2.05,Ocean Waves (Umi ga kikoeru),Animation|Drama|Romance,11:41 AM,06/25/2019,
175,2.6,Birdcage Inn (Paran daemun),Drama,12:00 AM,03/25/2019,Amazon
95,8.69,Girls on Top,Comedy,10:48 AM,11/21/2019,
73,8.36,Landet som icke är,Drama,2:04 PM,03/18/2019,
885,3.68,"Robe, The",Drama,12:27 AM,11/08/2019,Amazon
264,10.66,Tai Chi Master (Twin Warriors) (Tai ji: Zhang San Feng),Action|Adventure|Comedy|Drama,4:33 PM,03/02/2019,Amazon
985,7.62,People in Places,Comedy|Drama,8:38 AM,08/13/2019,Amazon
748,13.42,Rosario Tijeras,Crime|Drama|Romance,6:33 AM,02/08/2019,
413,6.92,Stop Making Sense,Documentary|Musical,4:34 AM,11/28/2019,
55,3.13,"Fighting Spirit, The",Documentary,10:38 AM,05/27/2019,FbAds-fb
