id,cost,movie,movie_genre,time,date,campaing
659,2.81,Road to Nowhere,Romance|Thriller,11:46 AM,07/08/2019,TwAds
134,8.0,Escape from Fort Bravo,Western,10:54 AM,09/06/2019,
252,14.05,Someone Marry Barry,Comedy,3:45 AM,08/24/2019,FbAds-in
394,10.0,Paul Williams Still Alive,Comedy|Documentary|Musical,1:26 AM,09/02/2019,
464,8.96,Snowbeast,Horror,9:39 PM,02/12/2019,FbAds-in
944,3.82,Get Rich or Die Tryin',Action|Crime|Drama,6:27 PM,11/16/2019,Amazon
309,12.32,Of Snails and Men (Despre oameni si melci),Comedy,12:26 AM,04/17/2019,Amazon
534,5.31,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom)",Drama,10:55 PM,10/09/2019,FbAds-fb
82,9.29,Black Narcissus,Drama,1:40 PM,07/01/2019,Amazon
743,11.79,RoboCop 2,Action|Crime|Sci-Fi|Thriller,10:27 PM,05/07/2019,
772,10.55,Great Escape: The Untold Story,Documentary|Drama|War,10:39 PM,11/21/2019,TwAds
569,5.78,Strange Voyage,(no genres listed),4:53 AM,07/25/2019,Amazon
186,2.26,Blood Done Sign My Name,Drama,12:12 PM,02/04/2019,
692,6.25,From the Clouds to the Resistance (Dalla nube alla resistenza),Drama,4:42 AM,06/08/2019,
821,5.27,H.O.T.S.,Comedy,4:22 PM,01/18/2019,Amazon
792,14.08,Father and Guns (De père en flic),Comedy|Crime,1:13 PM,11/10/2019,FbAds-in
817,9.34,Moog,Documentary|Musical,11:18 PM,03/23/2019,
478,8.97,Slither,Comedy|Crime|Thriller,9:37 PM,05/23/2019,
766,8.45,Poetry (Shi),Drama,1:08 PM,03/19/2019,
112,1.84,Watermelon Man,Comedy|Drama,10:16 PM,04/05/2019,FbAds-in
70,9.8,Two Girls and a Guy,Comedy|Drama,6:27 PM,11/29/2019,
521,7.76,Kagerô-za,Fantasy|Romance|Thriller,8:33 PM,08/03/2019,GAds
884,3.02,"Pirates of Penzance, The",Adventure|Comedy|Musical,1:23 AM,10/18/2019,
381,6.19,"Spider's Stratagem, The (Strategia del ragno)",Drama|Mystery,3:36 PM,04/26/2019,
169,1.4,Skenbart: En film om tåg,Comedy,6:25 AM,07/29/2019,Amazon
750,11.06,Burn Paris Burn,Animation|Fantasy|Mystery,4:13 AM,07/20/2019,FbAds-fb
325,4.85,Lilies of the Field,Drama,3:03 AM,03/15/2019,FbAds-in
621,6.35,Russian Doll,Comedy|Romance,8:41 PM,09/02/2019,FbAds-fb
142,13.68,Planet 51,Adventure|Animation|Children|Comedy|Sci-Fi,11:55 AM,11/07/2019,
98,2.39,Fuga de cerebros,Comedy,11:55 AM,12/23/2019,FbAds-fb
918,12.71,"Art of War II: Betrayal, The",Action|Thriller,12:41 AM,04/19/2019,
868,14.0,360,Drama,2:01 PM,06/24/2019,FbAds-in
18,12.12,Tarzan the Fearless,Action|Adventure,5:56 PM,04/03/2019,FbAds-fb
70,4.99,Paradise,Drama,6:46 PM,08/01/2019,GAds
385,14.81,Ai Weiwei: Never Sorry,Documentary,6:30 AM,05/20/2019,TwAds
889,10.64,Ziegfeld Follies,Comedy|Musical,10:44 PM,03/03/2019,TwAds
876,4.03,"Cake Eaters, The",Drama,4:33 AM,06/25/2019,GAds
919,10.51,Song of the Sea,Animation|Children|Fantasy,1:33 PM,05/09/2019,FbAds-fb
997,6.17,Sunburn,Action|Comedy|Crime,3:17 AM,06/11/2019,
447,6.29,Under the Rainbow,Comedy,3:20 PM,04/18/2019,FbAds-fb
829,7.02,At Land,(no genres listed),11:43 PM,03/26/2019,FbAds-fb
196,5.54,"Book Thief, The",Children|Drama|War,6:52 PM,05/30/2019,FbAds-in
328,13.08,"Miracle Worker, The",Drama,9:56 PM,10/04/2019,FbAds-fb
487,1.7,"Love on the Run (Amour en fuite, L')",Comedy|Drama|Romance,6:17 AM,11/17/2019,GAds
455,13.05,Fish Tank,Drama,4:55 PM,07/08/2019,
339,13.71,Love and Pigeons,Comedy|Romance,12:50 PM,08/16/2019,Amazon
302,9.26,Heartless,Fantasy|Horror|Mystery|Thriller,2:41 AM,02/09/2019,TwAds
668,12.53,Message to Love: The Isle of Wight Festival,Documentary,12:17 PM,03/31/2019,
280,3.86,"Proposition, The",Crime|Drama|Western,4:25 AM,10/15/2019,FbAds-in
634,5.8,"Common Wealth (Comunidad, La)",Comedy|Thriller,5:00 PM,07/04/2019,GAds
455,9.56,X: The Man with the X-Ray Eyes,Sci-Fi|Thriller,10:12 AM,07/05/2019,Amazon
408,11.68,Santa Claus,Sci-Fi,1:33 PM,10/28/2019,GAds
640,14.73,Lips of Blood (Lèvres de sang),Horror,12:12 AM,04/14/2019,FbAds-in
394,6.09,Drawing Restraint 9,Fantasy,7:11 PM,05/21/2019,FbAds-in
208,11.67,"Point, The",Animation|Children|Fantasy|Musical,5:36 AM,03/16/2019,FbAds-fb
269,12.43,"Charter Trip, The (a.k.a. Package Tour, The) (Sällskapsresan)",Comedy,3:18 AM,01/03/2019,
174,14.99,My Little Business (Ma petite entreprise),Comedy|Drama,1:30 PM,05/30/2019,FbAds-in
5,8.61,Hard to Be a God,Sci-Fi,12:30 AM,07/20/2019,FbAds-fb
214,2.64,"Big Bang Love, Juvenile A (46-okunen no koi)",Drama,12:50 AM,02/19/2019,
221,9.88,Monte Carlo,Comedy|Musical|Romance,1:28 PM,10/24/2019,FbAds-fb
47,4.18,Iron Maiden: Flight 666,Documentary,5:46 PM,10/23/2019,FbAds-in
331,9.15,Boy A,Crime|Drama,4:26 AM,03/24/2019,FbAds-in
28,5.86,Mouchette,Drama,7:17 PM,08/14/2019,FbAds-in
89,6.72,Something to Talk About,Comedy|Drama|Romance,4:29 PM,06/20/2019,FbAds-fb
76,11.72,Wadjda,Drama,8:12 PM,01/28/2019,FbAds-in
777,9.53,Dr. Goldfoot and the Bikini Machine,Comedy,6:54 PM,02/09/2019,FbAds-in
549,14.55,"Suriyothai (a.k.a. Legend of Suriyothai, The)",Action|Adventure|Drama|War,9:47 PM,09/20/2019,TwAds
421,11.38,Hellfighters,Action|Adventure,7:51 AM,12/05/2019,TwAds
586,3.36,Shall We Kiss? (Un baiser s'il vous plait),Comedy|Romance,2:49 AM,10/15/2019,FbAds-in
893,5.64,Hatchet II,Comedy|Horror|Thriller,7:29 PM,10/08/2019,
765,6.34,Munyurangabo,Drama,6:37 AM,09/20/2019,Amazon
603,5.36,Spontaneous Combustion,Horror|Sci-Fi|Thriller,6:46 AM,09/06/2019,Amazon
228,12.65,Downhill Racer,Drama,11:03 PM,09/08/2019,Amazon
58,8.47,"Tie That Binds, The",Thriller,5:48 AM,12/03/2019,FbAds-fb
926,8.84,"Chronicles of Narnia: The Voyage of the Dawn Treader, The",Adventure|Children|Fantasy,11:16 PM,03/02/2019,FbAds-fb
